slug,audit_before_rating,new_advisory_review_rating,after_status,action,body_changed,hold_reason
2d-game-engineering,5,,active,kept,False,
api-and-interface-design,5,,active,revised,True,
ci-cd-and-automation,5,,active,revised,True,
code-review-and-quality,5,,active,revised,True,
code-simplification,5,,active,revised,True,
context-engineering,5,,active,revised,True,
debugging-and-error-recovery,5,,active,revised,True,
desktop-app-theming,5,,active,kept,False,
frontend-ui-engineering,5,,active,revised,True,
game-feel-juice,5,,active,kept,False,
git-workflow-and-versioning,5,,active,revised,True,
incremental-implementation,5,,active,revised,True,
observability-and-instrumentation,5,,active,revised,True,
performance-optimization,5,,active,revised,True,
planning-and-task-breakdown,5,,active,revised,True,
root-cause-first-a-four-phase-debugging-discipline,5,,active,evidence-recorded,False,
security-and-hardening,5,,active,revised,True,
shipping-and-launch,5,,active,revised,True,
source-driven-development,5,,active,revised,True,
spec-driven-development,5,,active,revised,True,
test-driven-development,5,,active,revised,True,
write-a-readme-a-stranger-can-run-in-10-minutes,5,,active,evidence-recorded,False,
accessible-forms-with-react-hook-form-zod-and-semantic-html,4,,active,revised,True,
astro-visual-delivery,4,,active,kept,False,
block-secrets-with-layered-scanning-pre-commit-ci,4,,active,evidence-recorded,False,
browser-testing-with-devtools,4,,active,revised,True,
centralize-config-in-pydantic-basesettings-hide-docs-in-prod,4,,active,evidence-recorded,False,
centralized-error-handling-with-apierror-catchasync-wrapper,4,,active,revised,True,
consolidate-quality-gates-on-ruff-mypy-pytest,4,,active,revised,True,
deprecation-and-migration,4,,active,revised,True,
desktop-editor-layout,4,,active,kept,False,
dockerize-fastapi-with-layer-cached-deps-and-one-process-per-container,4,,active,evidence-recorded,False,
documentation-and-adrs,4,,active,revised,True,
doubt-driven-development,4,,active,revised,True,
expose-clis-via-project-scripts-entry-points-not-main-hacks,4,,active,evidence-recorded,False,
fastapi-service-shape,4,,active,kept,False,
feature-based-project-structure-with-unidirectional-imports,4,,active,evidence-recorded,False,
gate-every-build-with-a-fast-smoke-test,4,,active,evidence-recorded,False,
gh-tretapey-svelte-pwa,4,,quarantined,refined-held,True,"No machine-verified license (GitHub license API: Not Found/404); additionally the template uses pre-SvelteKit Rollup tooling that does not apply to current SvelteKit/Vite Svelte projects, so a version-safe procedure cannot be generalized even if licensing were resolved."
gh-visini-abstracting-fastapi-services,4,,active,curated-promoted,True,
layered-error-boundaries-plus-react-query-error-strategy,4,,active,evidence-recorded,False,
layered-express-api-routes-controllers-services-models,4,,active,evidence-recorded,False,
manage-the-project-with-uv-and-commit-the-lockfile,4,,active,revised,True,
match-async-sync-route-style-to-the-work-never-block-the-event-loop,4,,active,evidence-recorded,False,
organize-the-backend-by-domain-not-by-file-type,4,,active,evidence-recorded,False,
pick-the-right-state-tool-per-state-category,4,,active,evidence-recorded,False,
production-dockerfile-multi-stage-minimal-non-root,4,,active,evidence-recorded,False,
push-validation-into-pydantic-schemas-and-a-shared-basemodel,4,,active,evidence-recorded,False,
pyproject-toml-as-the-single-source-of-project-truth,4,,active,evidence-recorded,False,
python-cli-shape,4,,active,kept,False,
rag-app-contract,4,,active,kept,False,
refinement-criteria,4,,reference-only,archived-recoverably,False,
route-level-code-splitting-and-targeted-memoization,4,,active,revised,True,
share-types-between-client-and-server-via-a-shared-module,4,,active,evidence-recorded,False,
ship-a-env-example-and-load-env-in-dev-only,4,,active,revised,True,
single-typed-api-client-with-colocated-query-mutation-hooks,4,,active,revised,True,
store-all-config-in-environment-variables-12-factor,4,,active,evidence-recorded,False,
two-tier-client-server-layout-with-dev-proxy-and-unified-prod-serving,4,,active,revised,True,
use-annotated-dependencies-with-yield-for-db-sessions-and-chained-auth,4,,active,evidence-recorded,False,
use-src-layout-for-any-installable-or-tested-python-package,4,,active,evidence-recorded,False,
using-agent-skills,4,,active,revised,True,
validate-environment-config-at-startup-fail-fast,4,,active,evidence-recorded,False,
vite-react-app-shape,4,,active,kept,False,
won-phaser-shape,4,,active,kept,False,
won-static-shape,4,,active,kept,False,
agent-workflow-contract,3,,active,kept,False,
frameworks,3,,reference-only,archived-recoverably,False,
gh-adilmoujahid-donorschoose-visualization,3,,quarantined,refined-held,True,"No machine-verified license (GitHub license API: Not Found/404); setup is also tied to an unversioned external dataset download and a 2016 Vagrant/MongoDB workflow with no verification step, so it cannot be safely generalized without inventing missing checks."
gh-adilmoujahid-kaggle-talkingdata-visualization,3,,quarantined,refined-held,True,"No machine-verified license (GitHub license API: Not Found/404); the procedure also targets end-of-life Python 2.7 and a gated, account-required Kaggle competition dataset, so it cannot be generalized as safe reusable guidance."
gh-baugarten-node-restful,3,,quarantined,refined-held,True,"The automated GitHub license receipt returns Not Found/404 for this repository. Note for parent verification: the pinned README text itself contains a complete MIT license notice (Copyright 2012 Ben Augarten) not detected by the GitHub license API, likely because it is embedded in README.md rather than a separate LICENSE file; this task treats the automated receipt as authoritative and surfaces the discrepancy rather than resolving it unilaterally."
gh-bhbs-viject,3,,active,curated-promoted,True,
gh-dosisod-refurb,3,,active,curated-promoted,True,
gh-elenchev-order-book-heatmap,3,,active,curated-promoted,True,
gh-elibroftw-modern-desktop-app-template,3,,active,curated-promoted,True,
gh-erickks-vite-deploy,3,,quarantined,refined-held,True,No machine-verified license (GitHub license API: Not Found/404).
